,neutral,toxic
0,Вот и довели себя до сахарного диабета второго типа,False
1,"Мойщик машину пеной залил, а хозяин виноват? По-моему ты ошибаешься.",False
2,Какой совет может дать эта девушка?,False
3,Зачем брать топор и убивать то?,False
4,"Такой же как и Дегтярев. Другими словами оба ребята из песочницы, которую построил пу",False
5,Зачем брать топор и убивать то,False
6,Не ходи без перчаток,False
7,он вас трогал ?,False
8,"Низкий поступок, бить из подтишька.",False
9,"Что-то не похож. Хорошо если это он, А если нет, то тот человек будет дальше нарушать закон",False
10,Где увлекательный рассказ про хабаровск,False
11,Дима! Их еще называли шестерки,True
12,"А как ты их собрался будить лайками? Сдаëтся мне, что ты говоришь неправду.",False
13,Ну и что за плохой человек выстрел это,False
14,Потому что эти люди уже трубопровод туда планируют протянуть,False
15,"Из-за тебя глупца потом стоять, потому что ты будешь вылезать",True
16,Какая ты красивая,False
17,Путину повезло в отличие от тебя,False
18,не благодарные,False
19,Людей за бабки на улицы вывели чтобы гопника опять во власть вернуть,True
20,"Причём тут американский оппозиционеры, народ из-за своего губернатора выходит на улице",False
21,"как можно дожить до 58 лет, иметь детей и при этом  считать, что это прикол.",False
22,как будто вид делают что ни чего не происходит,False
23,слов нету подходящих,False
24,"Деньги выплачивают на детей, а не та то, чтоб пить, работать надо.",False
25,Кремль ещë не то покажут.,False
26,глупый пытается попасть в элиту этого мира?,True
27,Придумали еще одно прибыльное место,False
28,"Ну я смотрю - давай, оскорби меня.",False
29,так это украинский вброс для наших . кто зарабатывает тот на это не купится.,False
30,"У тебя колорад сбился узел, помолчи пожалуйста",True
31,"не могу его смотреть из-за того, что он разговаривает странно.",False
32,полная ерунда!ничего не выдержано,False
33,Как его можно не узнать,False
34,"Всё равно одни люди, неумеющие играть",False
35,Они с ума сошли? Всё нажраться не могут?,False
36,"Повесить как его брата, а не в ссылку",True
37,Покусала и спряталась,False
38,Во всех нациях есть и плохие люди и хорошие. Живите радуйтесь жизни и не болейте,False
39,"Что еще за адмирал Колчак? Певец какой-то что-ли, вроде маршала Александра?",False
40,Сам такой. Драпанул из страны за лучшим куском,False
41,Ему на том свете нет места,False
42,"Отстаньте, со своей божьей помощью, так может рассуждать только необразованный!! Избранная богом",True
43,Какой то странный интерес у тебя,False
44,Людей Путинских больше чем вдвешников,False
45,"тебя нужно вернуть туда, откуда ты пришла",False
46,"Родителей нужно наказывать,чтобы учили детей уважать учителей",False
47,Дайте мне адрес его!!!,False
48,"Думал, что КОБовцы иссякли в конце 2000х. Удивлен",False
49,Когда уже школьники перестанут оправдывать свои поступки социологией?,False
50,"Таких пруд пруди,а удар правильный,это за вдв",False
51,Вот что вам женщинам ещё надо? Такой прейскурант озвучил!,False
52,"Это что , моллюски ?",False
53,Ка трировать надо чтобы больше не было детей.,False
54,Почему Соловьев ещё не арестован?,False
55,Этот политик отдал 15 союзных республик. Почему НКВД его не наказало?,False
56,"Ну я бы тоже наверное обиделся на такую фигню. Травля же тоже не запрещена,  не?",False
57,что это было и на каком основании? кто этот человек?,False
58,откуда они такие берутся полуумные это же надо так на посмешище себя выставлять,True
59,это. только злые люди. так делают,False
60,От куда они берутся эти депутаты  один хлеще другого прям как будто они не из народа вышли,True
61,Гоните его куда подальше,True
62,В России нет президента,False
63,Покусала и спряталась,False
64,"Не вам решать, кто что заслуживает, вы сами что заслуживаете? Неужто просто говорить со стороны?",False
65,В смысле? Лёгкого поведения что ли?,False
66,Надеюсь ей все вернётся,False
67,"дожить до 58 лет, иметь детей и назвать это приколом!",False
68,Загуляла от мужа,False
69,да и пусть идет туда,False
70,Предатель родины! Ещё что-то говорит глупец,True
71,продажные !!!за деньги маму родную продадут.....!!!!!,True
72,дай господи им ума!,False
73,"эх,повстречаться бы с этим дизайнером и блогером.....интересно,он хоть на что то способен,кроме как раскрывать свой рот???",True
74,Комментарий по делу!,False
75,который должен какой-то посыл должно быть великолепно. Ты решаешь. Драматург.,False
76,"где она в машине, она снимает на телефон",False
77,Глупая.. чтоб не забыть что ли? Имена еще надо набить и расу,False
78,больше мне не пиши,False
79,"Путину повезло, а во ты молчи",False
80,как можно голосовать за эту подлость?,True
81,"Лентяи. Я бы их на луну отправила, с глаз долой.",False
82,"лёха из озинок, который под другую ориентацию косит",False
83,Наверно потому что на двачах мало школьников и для них крах очередного обмашщика инфо бизнесмена не примечателен.,False
84,Лишить родительских прав....прикрываться детьми==это преступление.....судить,False
85,он последнее отберет,True
86,По вам будут всю нацию судить. Это удел глупцов. Сам себя научись вести.,False
87,"а еще этот даниил, как не покажут, все свое лицо мажет от прыщей",False
88,"Тиньков прав, что блогеров можно купить. Долго вы к этому шли",False
89,Не слуги а враги народа,True
90,Говорит по-русски. Унижает Навального и его приспешников. Показывает пример подхода в работе с информацией,False
91,"Правильно не день рождение, а день рождения",False
92,"Путин, что ты делаешь со страной?",False
93,он на сола гудмана похож,False
94,"Мне незачем аргументировать глупому человеку, информации в сети достаточно, на не один том энциклопедии",False
95,"Врун , будь хоть порядочным к своим людям , пока тебе ещё кто-то верит , наверное",False
96,"Он даже в аду никому не нужен, настолько он плохой человек",True
97,Мне нечего сказать,False
98,"Так же с ними будет, как с животными обращаются!!!",False
99,Путин продажный,True
100,покусала и спряталась.... :(,False
101,а тебя недоросль видно плохо учили. на ты мы с тобой не переходили,True
102,Плохие люди якобы под прикрытием власти,False
103,Путинские медальки обязательно найдут своих людей,False
104,"Всë правильно! Если русские терпят, то хоть якуты мамбетов смогут поставить на место.",False
105,"Счастливо оставаться необразованным, батенька. Воистину: меньше знаешь - крепче спишь!",False
106,этих покалеченных ребят надо наказать,False
107,злые люди как будто вид делают что ни чего не происходит,False
108,"Бросил, плохой человек",False
109,Мне больше было интересно там про Лукашенко,False
110,"ути какая пусенька, и зачем его так мучать",False
111,тебя забыла спросить что мне писать...терпеть не могу подлиз и пресмыкающихся,True
112,"всеми силами пытаются протощить боевую вакцину, погибнет много очнитесь люди.",False
113,только на лицо тратит скорее всего 10т . в день,False
114,"советчик, не тебе решать кто что заслуживает.сам то ты чего заслуживаешь ? Говорить из далека?",False
115,Место скажи где находишься,False
116,Человечек в комментах потешается над над этой историей,False
117,Сколько тенге за оправдание культа личности великого Колбасы платят?,False
118,Он отменил пособия на детей матерям одиночкам,False
119,Кто понял о чем идет речь?,False
120,"Привет, я хочу любви, а ты хочешь её дать",False
121,не ну  как он  вообще живёт кто это есть,False
122,Пока у власти Путин и его команда- никогда!,False
123,"Этот паршивец сделал всë, что мог и суëт нос в Беларусь.",True
124,Зачем таких некрасивых людей выкладывать в интернет для чего их уничтожать надо,True
125,"Откудаты московскую взял, украинец? У вас же железный занавес.",False
126,Тебе и собака хороша,True
127,Хозяина нужно на цепь и бить,True
128,Таких людей так и надо учить,False
129,"К чему твоя Пикча? Этот чувак не из Украины, а откуда-то из Сибири вроде Омск",False
130,Бессмысленный пост. Толку-то? Все всë равно продолжают ездить.,False
131,Банкиры - ужасные люди. Им всегда всего мало.,False
132,тростью его ...молодец бабуля так ему надо!!!,False
133,зачем он избил ребенка? наказать надо,False
134,Твоя страница зафиксирована,False
135,"Китаю их отдадут, пусть китайцы разбираются с этим.",False
136,как можно его не узнать?,False
137,"Да вы что этот мойщик машину пеной залил, а хозяин ? Ты походу сам не умнее  мойщика",True
138,"не слуги,а враги народа.",True
139,"попасть бы ему в прошлою войну и посмотрели бы,как он своими ручками размахивал.тебе желаю пройти всё.....",False
140,"Сидит пальцы гнёт, а в кармане 400 рублей до зарплаты. Магазин ему?",False
141,бред какой-то!!! какие-то глупцы что-то там сами с собой о своих домыслах говорят!!!,False
142,Что ты сказал!,False
143,"Для людей, кто ходят в масках и перчатках нужно закупить скафандры",False
144,причём здесь эти американцы? народ за губернатора выходит на улицы,False
145,"А ты хотел не того же самого? Бросить детей, глупец.",False
146,Пусть уходит в этом направлении,False
147,ух ты!поляки самые геройские герои,False
148,"Спать пора, а то я куни пони прочитал, думаю совсем что-ли",False
149,Я хочу сделать тебе минет,False
150,белорусы молодцы бей фашистов и голубей зачем кормит просто красавцы👍 👍 👍,True
151,"Всю игру сломали. С каждым разом всё хуже и хуже,и всё хуже...народ,играйте в битву за острова,там косяков меньше,но намного интереснее...",False
152,"Зачем делать добро и спрашивать хорошо или нет ,что за глупость пишут",False
153,Чё ты сказал?,False
154,как не нравятся мне эти псевдорустикалы.,True
155,Кошмар,False
156,"У меня вопрос, почему те кто этого некомпетентного человека выбирал не отзовут его полномочия обратно? Или он депутатское кресло купил?",False
157,"Сейчас скажу кое-что, только не обижайся. Иди ты отсюда!",False
158,негодник дайте мне адрес его!!!,False
159,"Ну блин, гнилая доска-это не круто.",False
160,"потому что у нас такая власть и много людей , которые её поддерживает",False
161,И даже у них -чистые гладкие лица и нет торчащих скул.,False
162,"Вот этот человек, только на лицо тратит скорее всего 10т в день.",False
163,Россия - плохая страна для жизни. Не хватало только переименования Саратова в Пыня,False
164,Точно ненормальный или ненормальная,True
165,Ты неадекватный?Не 99.Максимум 70,True
166,А как ты их лайками будить будешь,False
167,"Вчера сосед к себе в однушку двух ламантинов принес, не знаю что делать, ментов вызывать, слава богу закон скоро появится",False
168,И часто ты попадаешь под удар мухобойки?,False
169,"так издеваться над животными , ненавижу !!!",True
170,на какое противоречие ты указал? Там ясно указан разграничительный признак.,False
171,"Откуда они берутся , это же надо себя на посмешище выставлять",False
172,именно из-за этих выключается телевизор,False
173,"такой же, как и дегтярев. другими слова оба ребята из песочницы, которую построил пу",False
174,Ей уже пятьдесят,False
175,Девушки с терминалами приезжали.,False
176,кто нищий? хватит сеять панику,False
177,"адми ты наверное неправ - каемамочки, это же дети",False
178,"К чему это? Этот человек не из Украины, а откуда то из Сибири, вроде Омск...",False
179,Не узнать его говор - это ещё уметь надо,False
180,"Киевская Русь это исторический конструкт, была просто РУСЬ, не было никакой Киiiвской руси.",False
181,Не 99 . Максимум 70,False
182,Пусть Володя спросит у него как с понимающего,False
183,Предлагаю разобраться с ними.,False
184,Обоих наказать,False
185,изменила мужу глупая. все просто,True
186,Вот какой она может дать совет?,False
187,"напрасно мудрость думать что старости приходит мудрость, не все становятся  мудрецом",False
188,"Наверное-это такой же нехороший человек, как и …",False
189,"А куда полиция смотрит, что не кому сообщить куда следует, чтоб их преструнили",False
190,это все в этой москве.,False
191,"ерунда какая то,какие то людио своих домыслах говорят",False
192,"за  проездной в тюрьму????? Женщину????? что ,условного срока нет что ли? я не понимаю наше правосудие...",False
193,"Ачто хорошая была,. Только работала от удара.",False
194,На завод таких людей отправляйте  чтобы узнали что такое зарплата в 20-30 тысяч,False
195,За проездной в тюрьму? Женщину? Условного срока нет что ли? В шоке от правосудия.,False
196,Не многие знают.  Какой сложный вопрос,False
197,Как вы уже надоели,False
198,"Вы, видимо, настолько глупы, что даже не знаете, что такое корысть? Такого навоза и без вас хватает",True
199,Это фото надоело,False
200,по лексике сразу видно ты замкадышь плохая..кутузовка.. рассмешила..,True
201,"Спорить в интернете - это как участвовать в споре с глупым человеком: если победишь, все равно глупец!",False
202,"Им смешно как он до них докапывается.Не смешно, не поняли? Это Россия!",False
203,Да пассажиров было и так много.надо избавлятся от лишнего,False
